review,label
Tôi nghĩ màn hình của nó rất tệ so với giá của nó,0
"Tôi sẽ xem điện thoại khác, cái này rất tệ",0
tôi không thích kiểu dáng này trông nó rất tệ,0
Trải nghiệm người dùng rất tệ,0
rất tệ!,0
Chất lượng hình ảnh selfie kém nhất trong điều kiện ánh sáng trong nhà!,0
"họ cần 8GB ram để chạy hệ điều hành Android cồng kềnh của họ, Android là một hệ điều hành kém hiệu quả",0
Pin trở nên kém hơn sau khi cập nhật,0
"Kể từ ngày tôi bắt đầu sử dụng Apple, tôi bắt đầu ghét andriod.",0
Không có tự động lấy nét và OIS cho camera sau. Thật sự rất khó chịu,0
Xiaomi có chất lượng thấp và giao diện người dùng lỗi,0
Tôi đã sử dụng một thời gian và cảm thấy nó rất tệ. Thật là lãng phí khi bỏ ra một số tiền như vậy.,0
Tôi đã sử dụng điện thoại xiaomi và đó là trải nghiệm tồi tệ nhất. Rất nhiều bloatware và lỗi.,0
Thiết kế của nó quá xấu so với các loại cùng phân khúc,0
"Chúng ta muốn màn hình 5,7 - 5,9 inch, với  6,6 inch rất khó làm việc bằng một tay khi chúng ta bận rộn. chúng rất khó cầm năm và quá to",0
"Nó có vẻ giống như một thiết bị được làm tròn tốt nhưng màn hình đó, nó thật kinh khủng",0
Máy ảnh: - chất lượng rất trung bình. Ảnh zoom là tệ nhất.,0
Màn hình hiển thị rất tệ.,0
Có vấn đề để thực hiện đa nhiệm,0
Một sản phẩm rất đáng thất vọng. Tôi cảm thấy rất lãng phí tiền bạc để mua nó,0
điện thoại Samsung này tốt nhưng bộ nhớ điện thoại không đủ,0
Từ màn hình tới tối ưu cho các ứng dụng nhà sản suất đều làm quá tệ,0
"Công dụng của chiếc điện thoại này là gì? Nó quá lớn, quá nặng, sạc chậm, có camera trước yếu và có vẻ như nó được thiết kế cách đây hai năm với những chỉnh sửa nhỏ bổ sung cho camera.",0
Điện thoại quá tệ,0
Ghét loại điện thoại này,0
Nó thật phí tiền,0
bảo đảm nhảm nhí,0
không ra gì,0
quá chán,0
treo đầu dê bán thịt chó,0
