review,label
"mua cho vợ dùng làm máy chính chỉ nghe gọi. không zalo facebook bằng máy này nên pin cân được gần 2 ngày. mỗi cái là khi nghe gọi thì có tiếng kêu lộp bộp lúc mới đầu, không biết do phần cứng hay phần mềm.",1
"Tổng kết: Những ai chỉ nghe gọi thì nên mua do cấu hình cao, các tác vụ mượt k chê vào đâu được. Còn mua dùng 1 mình nó thì pin đuối quá.",1
"Đúng là nhà giàu, nghe gọi thì cứ cục gạch thôi kk",1
"Dùng mượt, chơi game mượt, sạc pin nhanh, chưa thấy đơ. Loa nghe nhạc đã, chụp ảnh đẹp. Nhỏ gọn nhẹ, đẹp",1
"Sản phẩm rất ok mượt , âm thanh to rõ, rất gọn và đẹp có pin hơi tệ nhưng đủ dùng trong một ngày.Nhân viên nhiệt tình",1
Iphone se 2020 camera và cấu hình khá là tốt luôn. Màn hơi bé nhưng ai thích mỏng nhẹ thì cầm rất là đã . Về pin thì dùng hỗn hợp ko gamethì tầm 5 6 tiếng onscreen nhưng nếu ai chỉ có 1 cái điện thoại thì nó sẽ có phần yếu nhưng ai dùng 2 điện thoại xen kẽ với nhau thì pin nó thoải mái 1 ngày luôn,1
"Sản phẩm tốt, đang dùng dòng Plus xuống mình chấp nhận pin yếu để sử dụng màn hình tỉ lệ 16:9.",1
Mua máy dùng 1 tháng rồi thấy ổn.,1
Máy tốc độ mượt. mình chưa chơi game nhưng chụp ảnh xử lý ảnh video thấy ok,1
Màn hơi nhỏ nên dễ bấm trượt. Bù lại máy khá gọn. mình thích máy gọn nhưng android toàn >6in nên mới mua con này,1
Máy dễ dùng hơn android. ko phải bấm nhiều như android,1
Máy ko có sạc nhưng chỉ cần mua thêm cáp rồi cắm sạc android là được,1
Pin ko nhiều như android nhưng hiếm khi cần dùng 8 tiếng liền cho nên cứ tranh thủ cắm sạc thì cũng ko có gì bất tiện,1
Một số bạn kêu pin bị hao có thể do mua loại hộp cũ sx từ trước 06/2020 có sạc,1
mình chưa dùng con android nào tầm 10tr nên cảm thấy con này tốt hơn hẳn. Bạn nào dùng androi 10tr rồi đánh giá thì khách quan hơn,1
hy vọng bền (thấy nhiều ng khen bền). trc mình dùng samsung độ 1-2 năm là hỏng hoặc trục trặc,1
Mình mới lấy con iphone SE 2020 ở TGDD khu vực Tân Yên được 2 hôm. Trải nghiệm sản phẩm rất ưng. Phù hợp với nhu cầu của mình. Các bạn nhân viên ở TGDD hỗ trợ rất nhiệt tình và chu đáo. Mình mua ở đây rất nhiều rồi. Rất hài lòng về phục vụ ở đây. Đánh giá 5 sao.,1
Dùng rất ngon.,1
Điện thoại rất ok,1
Ok,1
good,1
tôi rất thích nó,1
tôi sẽ lấy nó,1
"con này đẹp, giá hợp lý và xứng đáng với cái giá đó.",1
Điện thoại này rất đẹp,1
Tất cả mọi thứ của nó đều tốt,1
Tôi sẽ lấy nó ,1
Đây là kẻ hủy diệt cho các phone tầm thấp đây.,1
Rất là ngon ở phân khúc tầm trung.,1
Trông khá là ngon,1
trải nghiệm tổng thể thì ngon,1
"Thấy ngon lành, xài ổn định mượt mà, cam tốt và cái quan trọng nhất nếu mua chính hãng sử dụng được Samsung Pay",1
Quá đỉnh,1
Qúa mượt luôn,1
"Riêng vấn đề nghe gọi và kết nối các thiết bị với nhau, em thấy iOS làm rất tốt.",1
Điện thoại này đối với tôi thì rất tốt ,1
Nó rất tốt,1
Nói chung là đẹp lắm luôn ạ,1
"Nó rất đẹp, rất phù hợp với mọi người",1
tôi thích nó,1
ai thấy cũng thích nó,1
Nó rất tuyệt vời,1
rất chi là ok luôn,1
ok tôi sẽ lấy nó,1
"Hàng rất đẹp, rất chi là ưng ý.",1
Rất ưng ý và chất lượng,1
Camera Thật là tuyệt vời,1
Thông số kỹ thuật đáng kinh ngạc cho giá trị giá cả.,1
một chiếc điện thoại có giá trị tốt như vậy thật bất ngờ.,1
tôi thích chất lượng tốt của điện thoại,1
iPhone có phần mềm tốt nhất,1
iPhone là một chiếc điện thoại tốt và tôi thích nó 😘😘😘,1
"Tôi thích iPhone 12 pro, chiếc điện thoại rất đẹp",1
Nó có khả năng chống nước rất tốt,1
"camera selfie của nó rất tốt, hầu hết là trong điều kiện ánh sáng tốt và trong điều kiện tối thì nó vẫn ổn.",1
Điện thoại tốt,1
Tôi thích iphone x,1
